,DM
2084,14.5
2085,14.258282
2086,14.538846
2087,13.774354
2088,15.49015
2089,15.7
2090,13.188538
2091,13.8708935
2092,11.812654
2093,16.45166
2094,18.21
2095,11.746733
2096,12.454557
2097,16.699947
2098,15.109378
2099,11.703732
2100,14.398722
2101,11.108847
2102,12.288211
2103,16.339098
2104,18.23
2105,12.618227
2106,14.3897505
2107,17.388792
2108,16.4
2109,13.115068
2110,14.114991
2111,16.271933
2112,13.5
2113,12.392726
2114,22.484135
2115,17.1
2116,12.697352
2117,18.14
2118,15.245173
2119,16.549122
2120,22.036375
2121,14.494487
2122,17.497614
2123,17.601002
2124,13.2
2125,16.2509
2126,17.0
2127,16.519518
2128,15.4
2129,14.993122
2130,12.434767
2131,14.761489
2132,14.798958
2133,16.2
2134,13.07855
2135,14.1
2136,17.963224
2137,15.4
2138,16.0
2139,14.661412
2140,15.938215
2141,16.8
2142,14.484127
2143,11.574074
2144,17.074337
2145,17.794239
2146,15.658592
2147,15.479561
2148,14.868753
2149,12.848605
2150,14.647631
2151,15.778688
2152,13.09371
2153,16.7943
2154,15.570029
2155,14.603575
2156,13.473848
2157,13.855556
2158,13.721338
2159,11.465603
2160,15.227101
2161,13.167939
2162,13.626325
2163,12.734082
2164,13.207547
2165,16.2444
2166,11.149228
2167,15.850317
2168,14.78528
2169,15.9952135
2170,13.216751
2171,13.403614
2172,16.770912
2173,14.071894
2174,14.691833
2175,14.617044
2176,16.777134
2177,15.263202
2178,12.024353
2179,13.095911
2180,15.760112
2181,13.247489
2182,14.51965
2183,17.898193
2184,12.260248
2185,16.997168
2186,12.602291
2187,15.074101
2188,13.482378
2189,11.355932
2190,16.327467
2191,14.209115
2192,15.778906
2193,15.603799
2194,13.294549
2195,9.789157
2196,16.956463
2197,14.629325
2198,10.921178
2199,14.941704
2200,12.684729
2201,15.075825
2202,16.136507
2203,12.104539
2204,13.782658
2205,17.534954
2206,11.045655
2207,15.034965
2208,16.573706
2209,15.732992
2210,13.209277
2211,14.1667595
2212,14.626649
2213,13.45046
2214,14.52285
2215,13.585411
2216,16.594307
2217,16.498339
2218,15.654586
2219,14.670241
2220,17.73281
2221,15.86737
2222,14.301552
2223,17.203756
2224,17.233028
2225,14.802454
2226,14.379353
2227,14.237496
2228,15.047022
2229,18.62316
2230,16.269644
2231,14.742379
2232,15.647524
2233,12.834126
2234,13.7651
2235,16.70574
2236,14.134275
2237,15.954127
2238,14.690599
2239,14.485528
2240,15.096053
2241,17.332952
2242,15.669696
2243,17.2309
2244,12.630014
2245,12.851897
2246,16.052038
2247,16.643822
2248,15.040755
2249,14.46349
2250,13.485904
2251,16.423777
2252,16.351025
2253,15.745356
2254,16.899307
2255,12.0
2256,16.48385
2257,14.87743
2258,13.680331
2259,12.57971
2260,15.814394
2261,14.522821
2262,12.828947
2263,15.772303
2264,11.8586645
2265,17.037464
2266,15.547113
2267,14.931651
2268,11.435239
2269,18.489037
2270,16.437693
2271,14.141802
2272,14.51779
2273,12.088975
2274,18.36456
2275,14.881763
2276,15.953003
2277,9.058615
2278,15.62016
2279,13.602638
2280,16.721783
2281,15.646258
2282,16.221968
2283,15.994212
2284,15.245165
2285,15.060476
2286,14.392316
2287,17.554958
2288,15.157844
2289,14.487536
2290,15.347722
2291,13.0622835
2292,11.791045
2293,14.12627
2294,13.043478
2295,18.211723
2296,17.514091
2297,15.437393
2298,16.66998
2299,14.689091
2300,14.930246
2301,12.65625
2302,14.46281
2303,12.841855
2304,16.092844
2305,13.354281
2306,16.09816
2307,13.828645
2308,14.614025
2309,17.807184
2310,18.050335
2311,11.457036
2312,14.182118
2313,16.568953
2314,17.399961
2315,17.12651
2316,16.472126
2317,15.707965
2318,11.239496
2319,14.756293
2320,12.7027025
2321,12.27652
2322,14.435146
2323,14.170101
2324,12.212213
2325,15.470199
2326,18.913301
2327,15.933122
2328,17.653858
2329,14.050945
2330,12.593703
2331,16.423025
2332,16.834866
2333,17.196491
2334,16.328342
2335,14.132852
2336,15.247525
2337,15.177265
2338,15.285021
2339,16.565502
2340,15.975928
2341,14.998502
2342,10.497237
2343,15.119784
2344,13.843253
2345,16.123188
2346,15.670639
2347,11.071428
2348,15.085389
2349,12.179487
2350,15.274261
2351,15.749354
2352,14.079422
2353,17.49843
2354,17.109808
2355,11.2038145
2356,17.187235
2357,15.02612
2358,15.398717
2359,17.41468
2360,17.117348
2361,14.100918
2362,15.723866
2363,15.368567
2364,15.583928
2365,15.194605
2366,11.7519045
2367,10.638298
2368,15.341225
2369,13.81729
2370,14.896714
2371,13.75777
2372,15.155616
2373,11.330698
2374,12.790698
2375,17.7471
2376,15.384615
2377,12.068966
2378,14.847915
2379,16.092028
2380,14.595392
2381,16.023775
2382,13.658537
2383,13.512764
2384,14.245944
2385,13.430482
2386,14.676339
2387,14.246784
2388,15.191433
2389,14.57704
2390,16.012856
2391,12.525667
2392,13.542646
2393,12.580646
2394,17.486752
2395,18.260656
2396,13.727237
